id,tipo,estado,oferta,precio,moneda,nro_ambientes,nro_banios,zona,ciudad,area_m2,latitud,longitud
LOC00025,local comercial,disponible,alquiler,2500.0,dolar,2,4,Sopocachi,La Paz,300.0,-16.508804,-68.127052
CAS00135,casa,disponible,venta,600000.0,dolar,3,5,Sopocachi,La Paz,350.0,-16.508125,-68.128494
TER00031,terreno,disponible,venta,95000.0,dolar,0,0,Achumani,La Paz,352.0,-16.526684,-68.06118
CAS00136,casa,disponible,alquiler,2300.0,dolar,5,6,Achumani,La Paz,330.0,-16.510328,-68.05439
TER00032,terreno,disponible,venta,423000.0,dolar,0,0,La Florida,La Paz,846.0,-16.552868,-68.083992
DEP00245,departamento,disponible,venta,245000.0,dolar,3,4,Achumani,La Paz,153.0,-16.523392,-68.067879
OFI00061,oficina,disponible,venta,64900.0,dolar,4,1,San Jorge,La Paz,76.0,-16.510347,-68.123749
OFI00062,oficina,disponible,alquiler,4800.0,dolar,36,6,Centro,La Paz,1200.0,-16.496256,-68.132271
DEP00246,departamento,disponible,alquiler,480.0,dolar,3,3,San Jorge,La Paz,175.0,-16.510078,-68.123878
DEP00247,departamento,disponible,venta,65000.0,dolar,1,1,Obrajes,La Paz,50.0,-16.527155,-68.101524
OFI00063,oficina,disponible,alquiler,260.0,dolar,1,1,Calacoto,La Paz,35.0,-16.538591,-68.075943
TER00033,terreno,disponible,venta,355000.0,dolar,0,0,Mallasilla,La Paz,708.0,-16.569035,-68.104935
CAS00137,casa,disponible,alquiler,2000.0,dolar,3,5,La Florida,La Paz,280.0,-16.54789,-68.088905
TER00034,terreno,vendido,venta,1925000.0,dolar,0,0,Cota Cota,La Paz,5500.0,-16.54575,-68.059547
OFI00064,oficina,disponible,alquiler,2100.0,dolar,2,2,Calacoto,La Paz,150.0,-16.538776,-68.084312
DEP00248,departamento,disponible,alquiler,200.0,dolar,1,1,Obrajes,La Paz,38.0,-16.524008,-68.112015
CAS00138,casa,disponible,alquiler,400.0,dolar,2,2,San Miguel,La Paz,80.0,-16.544592,-68.080246
