id;descripcion_nandina;categoria;subcategoria;anio_2024;anio_2023;anio_2022;anio_2021;anio_2020;anio_2019
prim_0104;Aviones y demas aeronaves mayores a 15 T;Transporte en general;Aeronaves pesadas;32,46;23,68;29,03;35,78;64,80;86,86
prim_0105;Mezclas bituminosas a base de asfalto;Derivados del petróleo ;Construccion vial;32,28;30,46;28,25;29,00;37,05;34,39
prim_0106;Aparatos receptores de television en colores;Electronica;Televisores;27,45;25,60;30,00;32,50;36,42;70,30
prim_0107;Partes de telefonos, telefonos inteligentes, redes inalambricas, aparatos de emision, transmision o recepcion de tv;Electronica;Componentes de telecomunicaciones y electronica;25,80;27,00;32,58;30,00;30,44;21,67
prim_0108;Las demas vacunas para la medicina veterinaria;Salud y Medicamentos;Medicina veterinaria;25,50;33,54;39,63;34,10;28,70;22,25
prim_0109;Maquinas pulverizadoras para agricultura u horticultura;Maquinas industriales;Maquinas agricolas;24,06;11,16;14,85;14,32;14,74;13,45
prim_0110;Productos laminados planos cincados de hierro o de acero sin alear;Productos metalicos;Laminados;23,64;17,15;24,63;21,90;14,15;24,37
prim_0111;Malta (de cebada u otros cereales) sin tostar;Productos alimenticios;Cereales y derivados;21,30;17,52;14,20;10,00;12,29;9,26
prim_0112;Sembradoras, plantadoras y trasplantadoras usadas para la siembra directa;Transporte y maquinaria pesada;Maquinas agricolas;19,74;16,63;15,00;17,56;12,28;12,58
prim_0113;Productos laminados planos de hierro o acero sin alear y revestidos de aleaciones de aluminio y zinc;Productos metalicos;Laminados;19,69;21,89;20,47;20,00;12,20;20,97
prim_0114;Placas y baldosas para pavimentacion o revestimiento;Materiales de construccion;Placas;11,25;15,00;20,60;15,40;11,83;17,29
prim_0115;Torres y castilletes de hierro o acero;Materiales de construccion;Estructuras metalicas;19,53;17,87;15,66;12,00;11,67;8,42
prim_0116;Las demas preparaciones para la alimentacion infantil acondicionadas para la venta al por menor;Productos alimenticios;Alimentos para infantes;19,07;10,48;14,62;25,70;11,13;11,20
prim_0117;Instrumentos y aparatos de medicina, cirugia, oftalmologia, odontologia y veterinaria;Equipos medicos;Instrumentos y equipos por especialidad;17,19;7,65;12,80;12,03;27,87;15,55
prim_0118;Alambrones de hierro o acero sin alear de seccion circular con diametro inferior a 14 mm;Productos metalicos;Alambrones;16,03;11,81;16,35;12,74;11,22;10,00
prim_0119;Reactivos de diagnostico o de laboratorio;Productos de laboratorio;Reactivos de diagnostico;15,61;13,45;19,10;18,97;14,50;10,00
prim_0120;Productos laminados planos de hierro o acero sin alear, cincados electroliticamente;Productos metalicos;Laminados;27,38;25,01;18,99;15,28;13,45;12,02
prim_0121;Tubos y perfiles huecos soldados de seccion cuadrada o rectangular;Productos metalicos;Materiales estructurales;24,15;15,29;13,56;17,75;21,56;25,70
prim_0122;Los demás aparatos para uso medico, quirurgico o veterinario;Equipos medicos;Instrumentos y equipos por especialidad;20,32;25,45;19,66;24,74;22,40;20,00
prim_0123;Articulos de plastico para uso domestico y articulos de higiene o de tocador;Materiales plasticos;Productos varios de plastico;20,20;29,43;25,72;22,77;27,89;25,63
prim_0124;Alambre de cobre refinado con seccion transversal superior a 6 mm;Productos metalicos;Alambres;20,65;20,88;32,88;23,56;12,48;21,30
prim_0125;Fibras sinteticas discontinuas, cardadas, peinadas para la hilatura, acrilica o modacrilica;Textiles;Fibras sinteticas;20,55;15,38;17,86;13,70;11,19;11,62
prim_0126;Las demas turbinas de gas de potencia superior a 5000 kw;Maquinas industriales;Generadores;16,20;12,04;15,54;14,85;11,94;9,78
prim_0127;Las demas,armas (por ejemplo:armas largas y pistolas de muelle (resortes),aire comprimido o gas,porras),excepto las de la partida no 93.07;Armas y dispositivos de defensa;Armas neumaticas, mecanicas y contundentes;16,35;17,33;13,44;12,01;12,68;13,66
prim_0128;Grupos electrogenos de energia eolica;Tecnologia;Energia eolica;25,36;26,66;21,65;27,93;19,14;20,90
prim_0129;Aparatos de ozonoterapia, oxigenoterapia o aerosolterapia, aparatos respiratorios de reanimacion y demas aparatos de terapia respiratoria;Equipos medicos;Dispositivos terapéuticos respiratorios;18,34;16,01;18,54;14,50;14,61;17,40
prim_0130;Las demás vajillas y demas articulos de plastico para el servicio de mesa o de cocina;Materiales plasticos;Productos varios de plastico;12,64;13,86;19,30;15,87;14,08;16,68
prim_0131;Compresas y tampones higienicos de pasta de papel, papel, guata de celulosa o napa de fibras de celulosa;Higiene personal;Compresas y tampones higienicos;15,49;15,41;14,72;19,41;16,54;12,32
prim_0132;Abonos minerales o quimicos con nitrogeno, fosforo y potasio;Productos quimicos;Fertilizantes;112,36;89,29;126,96;98,65;85,58;140,53
prim_0133;Ascensores y montacargas;Maquinas industriales;Equipos de elevacion vertical;19,33;7,02;11,40;9,02;59,74;6,50
prim_0134;Mezclas y pastas para la preparacion de productos de panaderia, pasteleria o galletria;Productos alimenticios;Mezclas y pastas para panaderia;18,99;26,04;24,94;22,68;26,94;28,26
prim_0135;Generadores de corriente alterna de potencia superior a 750 kva;Maquinas industriales;Generadores;17,23;8,12;17,69;13,21;16,16;19,73
