id,precio_log_iqr,area_m2_log_iqr_std,nro_ambientes_log_iqr_std,nro_banios_log_iqr_std,estado_codL_std,oferta_codL_std,tipo_codT_std,ciudad_codT_std,zona_codT_std,latitud_std,longitud_std
CAS00001,7.824445930877619,0.5928659015467422,0.6447646777869178,1.1418192185635814,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.0052426654242366715,0.8910302723488064,-1.0019054548652389
DEP00001,6.478509642208569,-0.32869120267390545,0.30256687375989233,0.2870874255470182,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9129941380914897,-0.9912289875213643
TER00001,11.356283350762888,0.2603433107631394,-1.8233600612393985,-1.830275755538732,-0.016114366641495355,0.8280415687087431,1.7525844210160881,-0.9483664637200454,0.12371607615946424,0.8761379188452384,-0.9979311987347288
CAS00002,12.54254845357358,0.3685912998062634,0.6447646777869178,0.9063764562184295,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.20207167988253602,0.8500669522970139,-0.9888779263835937
PAR00001,9.105090961257085,-2.583447603228333,-1.8233600612393985,-1.830275755538732,-0.016114366641495355,0.8280415687087431,-0.1921278076129368,-0.9483664637200454,-0.15883918240264788,0.9552347575198066,-1.0062656569788155
CAS00003,7.824445930877619,0.10353384763236237,0.9243606418837164,0.6279067730828085,-0.016114366641495355,-1.222499172317344,0.11763177455760256,-0.9483664637200454,-0.2923093286751119,0.9385775172898972,-1.003290005220263
CAS00004,13.551546314212295,0.641133319514937,0.9243606418837164,1.1418192185635814,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.60684992619765,0.9034562714356434,-0.9854657195205331
DEP00002,6.3473892096560105,-0.38606091302299883,-0.13860282561592888,0.2870874255470182,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9167482615517658,-0.9872049451819545
CAS00005,12.765691290604371,0.4719825097227078,0.6447646777869178,0.9063764562184295,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,0.2223472869548421,0.8344910791036655,-0.9859960866550426
DEP00003,11.951186847493476,-0.7196700787723839,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.8037047775075877,-0.9483664637200454,-0.6375017536909693,0.9459735892066526,-0.9828850657830239
CAS00006,13.038983942375959,0.7671529620158964,0.30256687375989233,0.2870874255470182,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.9490516713107318,-0.9823925526255353
DEP00004,7.313886831633462,-0.04529989304072402,0.30256687375989233,0.9063764562184295,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-0.6375017536909693,0.9305891613531113,-0.9871609193608586
OFI00001,12.301387370778713,-0.04126078489207361,0.9243606418837164,0.2870874255470182,-0.016114366641495355,0.8280415687087431,-0.5694845184983812,-0.9483664637200454,1.5794659352876712,0.9563609945578884,-1.0082966051370308
LOC00001,12.319405795112926,-0.285305202200108,-0.13860282561592888,0.6279067730828085,-0.016114366641495355,0.8280415687087431,-0.16296556355542782,-0.9483664637200454,-0.6375017536909693,0.9473884899211611,-0.9798151905382049
CAS00007,11.982935344196433,0.4109058228200568,0.9243606418837164,0.9063764562184295,-0.016114366641495355,0.8280415687087431,0.11763177455760256,-0.9483664637200454,-0.6375017536909693,0.957545562597944,-0.9838050820070495
DEP00005,6.311734809152915,-0.34551917719573755,0.30256687375989233,0.6279067730828085,-0.016114366641495355,-1.222499172317344,-0.8037047775075877,-0.9483664637200454,-1.1908548128524579,0.9181003442641493,-0.9893235335260846
